absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2]
0.0,-7.12,91.5,-0.13,-0.19,0.0,0.02,0.21,0.05
0.0,-7.12,91.5,-0.25,0.13,-0.06,0.0,0.25,0.05
0.0,-7.12,91.5,-0.06,0.5,-0.06,0.06,0.26,0.03
0.0,-7.12,91.5,0.19,0.5,0.06,0.06,0.21,-0.03
0.0,-7.12,91.5,0.25,0.37,0.13,0.11,0.2,-0.1
0.0,-7.12,91.5,0.06,0.19,0.0,0.04,0.23,-0.04
0.0,-7.12,91.5,-0.13,0.13,-0.19,0.04,0.25,0.0
0.0,-7.12,91.5,-0.06,0.19,0.06,0.01,0.22,0.01
0.0,-7.12,91.5,0.13,-0.19,-0.13,0.04,0.2,0.03
0.06,-7.12,91.5,0.0,0.19,0.0,0.03,0.22,0.05
0.06,-7.12,91.5,-0.06,0.06,-0.06,0.06,0.25,-0.01
0.06,-7.12,91.5,-0.06,-0.13,0.0,0.07,0.23,0.01
0.06,-7.12,91.5,-0.13,0.06,-0.06,0.05,0.24,0.01
0.06,-7.12,91.5,0.0,0.37,0.19,0.02,0.23,0.0
0.06,-7.12,91.5,0.13,0.62,0.13,0.04,0.22,0.01
0.06,-7.12,91.5,0.06,0.56,0.06,0.06,0.19,0.0
0.06,-7.12,91.5,-0.06,0.06,0.06,0.04,0.23,0.0
0.06,-7.12,91.5,0.0,-0.25,0.0,0.05,0.23,0.01
0.06,-7.12,91.5,0.06,-0.13,-0.06,0.04,0.23,-0.03
0.06,-7.12,91.5,0.13,0.13,0.0,0.01,0.19,-0.04
357.19,-7.19,92.75,1.12,-3.0,0.19,0.15,0.33,0.52
357.0,-7.19,92.69,0.69,-2.31,0.75,-0.12,-0.02,-0.51
356.87,-7.19,92.62,-0.56,-3.19,-0.13,0.19,0.39,-0.61
356.69,-7.19,92.62,0.81,-3.25,0.25,-0.05,0.25,1.14
356.56,-7.19,92.56,0.5,-3.0,0.81,-0.15,-0.03,0.09
356.44,-7.19,92.5,0.88,-3.12,-0.13,0.14,0.04,0.65
356.31,-7.19,92.44,4.62,-4.06,-0.25,-0.98,0.01,0.63
356.12,-7.19,92.44,-0.56,-2.5,-1.12,-0.45,-0.16,0.83
356.0,-7.19,92.44,2.37,-2.19,-0.13,0.07,0.06,0.22
355.87,-7.19,92.37,-0.62,-2.87,-0.06,0.06,0.26,0.28
355.75,-7.25,92.37,0.13,-2.75,0.44,-0.07,-0.09,0.54
49.5,3.19,-39.06,0.13,-0.37,-0.19,-0.02,-0.22,0.05
49.5,3.19,-39.06,0.0,-0.13,0.0,0.0,-0.18,0.06
49.5,3.19,-39.06,0.25,0.0,0.06,-0.02,-0.14,0.04
49.5,3.19,-39.0,-0.06,-0.25,0.06,0.05,-0.09,0.08
49.38,3.19,-39.0,-0.13,-0.13,-0.13,-0.03,-0.06,0.09
49.38,3.19,-39.0,0.25,-0.19,0.13,-0.04,-0.06,0.07
49.31,3.19,-38.94,0.13,0.25,0.06,-0.02,-0.08,0.07
49.31,3.19,-38.94,0.0,0.06,-0.13,0.01,-0.17,0.01
49.31,3.19,-38.94,0.0,-0.13,-0.13,0.01,-0.11,0.02
49.31,3.19,-38.94,0.06,0.13,0.13,-0.04,-0.11,0.06
49.31,3.19,-38.94,0.19,0.13,0.0,0.03,-0.12,0.02
49.38,3.19,-38.81,0.25,0.06,-0.06,0.0,-0.17,0.0
49.38,3.19,-38.81,-0.13,0.06,0.0,0.0,-0.09,0.02
49.38,3.19,-38.81,-0.19,-0.06,0.0,-0.01,-0.06,0.07
49.38,3.19,-38.81,-0.06,0.0,-0.13,0.01,-0.1,0.04
49.38,3.19,-38.81,-0.06,0.13,0.0,-0.01,-0.13,0.01
49.38,3.19,-38.81,-0.06,0.19,-0.06,-0.01,-0.13,-0.01
49.38,3.19,-38.81,-0.13,-0.06,-0.06,-0.02,-0.06,0.04
49.38,3.19,-38.81,-0.25,0.06,-0.06,-0.01,-0.06,0.05
49.38,3.19,-38.81,-0.06,-0.06,0.0,-0.01,-0.08,0.05
49.38,3.19,-38.81,0.06,-0.19,-0.06,-0.01,-0.07,0.04
49.38,3.19,-38.81,-0.06,-0.06,0.0,-0.01,-0.12,0.0
49.38,3.19,-38.81,0.06,-0.06,-0.13,-0.03,-0.04,0.04
49.38,3.19,-38.81,0.06,0.0,0.06,0.01,-0.05,0.05
49.38,3.19,-38.81,0.19,0.19,-0.06,-0.01,-0.13,0.0
49.38,3.19,-38.81,0.19,0.0,-0.06,0.0,-0.17,-0.03
49.38,3.19,-38.81,-0.06,0.25,-0.13,-0.01,-0.09,0.03
49.38,3.19,-38.81,-0.25,0.0,0.06,0.0,-0.06,0.05
49.38,3.19,-38.81,-0.19,0.13,0.13,-0.01,-0.08,0.03
49.38,3.19,-38.81,0.19,-0.13,0.0,-0.01,-0.11,0.02
49.38,3.19,-38.81,0.06,0.0,0.0,-0.01,-0.11,0.01
49.38,3.19,-38.81,-0.13,-0.06,0.13,0.0,-0.07,0.03
49.38,3.19,-38.81,-0.13,-0.19,0.19,0.0,-0.1,0.03
49.38,3.19,-38.81,0.0,0.19,-0.19,0.01,-0.09,0.0
49.38,3.19,-38.81,0.0,0.06,0.06,-0.01,-0.1,0.05
49.38,3.19,-38.81,0.25,-0.25,0.0,0.0,-0.16,0.01
49.38,3.19,-38.81,0.25,-0.06,0.0,-0.04,-0.14,-0.02
49.38,3.19,-38.81,0.0,-0.13,0.19,0.0,-0.09,0.06
49.38,3.19,-38.81,-0.06,0.0,-0.06,0.0,-0.02,0.05
49.38,3.19,-38.81,0.0,0.0,0.06,0.0,-0.15,-0.01
49.38,3.19,-38.81,0.25,-0.06,-0.13,-0.01,-0.18,-0.03
49.38,3.19,-38.81,0.06,-0.06,-0.06,-0.01,-0.09,0.0
49.38,3.19,-38.81,-0.06,0.25,-0.06,0.03,-0.06,0.08
49.38,3.19,-38.81,0.0,0.0,-0.06,-0.02,-0.09,0.03
46.63,2.87,-26.5,-25.0,4.56,7.12,-0.07,-0.17,-0.03
46.25,2.81,-25.19,-25.94,4.56,7.94,-0.13,0.04,-0.03
45.88,2.75,-23.94,-24.75,4.25,7.69,0.04,-0.04,-0.05
45.5,2.75,-22.81,-23.62,4.0,7.19,-0.02,0.11,-0.07
45.13,2.69,-21.69,-22.12,3.75,7.25,-0.14,-0.03,-0.07
44.75,2.62,-20.62,-22.37,3.69,7.87,0.02,0.0,-0.04
44.38,2.62,-19.5,-22.25,3.37,7.31,-0.03,-0.06,-0.03
44.0,2.56,-18.37,-23.69,3.62,7.06,-0.16,0.08,0.0
43.69,2.44,-17.19,-25.5,3.81,8.0,-0.17,-0.1,-0.05
43.25,2.37,-15.88,-27.56,3.44,8.81,0.03,-0.03,-0.06
42.88,2.31,-14.5,-29.06,3.87,8.38,-0.03,0.11,-0.12
54.94,-6.69,101.94,0.06,-0.06,0.0,-0.14,0.39,-0.08
55.0,-6.75,102.0,0.0,-0.06,0.0,0.07,0.47,-0.05
55.25,-6.75,102.0,0.0,-0.25,0.0,-0.09,0.51,-0.04
55.44,-6.75,102.0,0.0,-0.13,-0.06,0.03,0.42,-0.09
55.44,-6.75,102.06,0.37,0.13,0.06,-0.07,0.31,-0.09
55.44,-6.75,102.06,0.19,0.0,0.0,0.03,0.38,-0.06
55.44,-6.75,102.12,0.13,-0.13,-0.06,-0.05,0.45,-0.03
55.44,-6.81,102.12,-0.25,0.06,0.0,0.02,0.41,-0.04
55.5,-6.81,102.12,-0.06,-0.06,-0.06,-0.11,0.01,0.2
55.63,-6.81,102.12,-0.13,0.0,-0.13,-0.05,-0.04,0.21
55.88,-6.81,102.06,0.06,0.06,0.0,-0.09,-0.02,0.17
56.38,-6.94,101.75,0.0,-0.19,0.0,-0.05,-0.06,0.11
56.38,-6.94,101.75,0.25,-0.19,0.13,-0.05,-0.02,0.12
56.38,-6.94,101.75,0.06,0.0,0.06,-0.06,0.0,0.14
56.38,-6.94,101.75,-0.25,0.06,0.13,-0.04,0.08,0.14
56.38,-6.94,101.75,-0.31,0.0,0.06,-0.05,0.02,0.14
56.38,-6.94,101.75,0.06,0.06,-0.13,-0.05,-0.06,0.11
56.38,-6.94,101.75,0.13,0.0,-0.06,-0.06,-0.01,0.12
56.38,-6.94,101.75,-0.25,0.0,0.0,-0.04,0.06,0.12
56.38,-6.94,101.75,0.0,0.13,0.0,-0.03,0.12,0.17
56.38,-6.94,101.75,0.06,-0.06,0.06,-0.06,-0.05,0.12
56.38,-6.94,101.75,0.37,-0.19,0.06,-0.05,-0.06,0.1
56.38,-6.94,101.75,-0.06,0.06,0.0,-0.07,-0.09,0.12
56.38,-6.94,101.75,0.31,-0.13,0.0,-0.04,-0.12,0.11
