temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
20.03,31.0,101564.45,-19.92,0.0,-7.0,96.75,0.0,0.13,0.13,0.01,0.21,0.03,0.212367605815953,0.18384776310850237,1.4213346429696279,-0.3217505543966422,0.0,0.0,0.0,0.0
20.03,31.0,101564.45,-19.92,0.0,-7.0,96.75,-0.06,0.06,0.19,0.07,0.18,-0.05,0.19949937343260005,0.2080865204668481,1.1249788460500307,-2.191045812777718,3.0,-1.5,-4.0,5.220153254455275
20.03,31.07,101565.78,-20.03,0.0,-7.0,96.75,0.0,0.19,0.06,0.04,0.19,0.01,0.1944222209522358,0.19924858845171275,1.357104010545573,-1.3258176636680326,-1.5000000000000002,0.5000000000000004,3.0,3.3911649915626345
20.03,31.07,101565.78,-20.03,0.0,-7.0,96.75,0.06,0.25,0.13,0.03,0.19,-0.03,0.19467922333931784,0.28809720581775866,1.3511035302828724,-2.356194490192345,-0.5000000000000001,0.0,-2.0,2.0615528128088303
20.03,31.09,101564.95,-19.96,0.0,-7.0,96.75,0.13,-0.13,0.13,0.05,0.23,0.06,0.2428991560298224,0.22516660498395408,1.2434378683223652,-0.6947382761967033,1.0000000000000002,2.0000000000000004,4.5,5.024937810560445
20.03,31.09,101564.95,-19.96,0.0,-7.0,96.75,-0.06,-0.31,0.06,0.03,0.19,0.01,0.19261360284258222,0.32140317359976395,1.4058724148856199,-1.2490457723982544,-1.0000000000000002,-2.0000000000000004,-2.4999999999999996,3.3541019662496847
20.03,31.16,101563.22,-19.81,0.0,-7.0,96.75,0.19,-0.19,0.0,0.02,0.17,0.0,0.17117242768623692,0.26870057685088805,1.4536875822280324,-1.5707963267948966,-0.4999999999999999,-0.9999999999999994,-0.5,1.2247448713915885
20.03,31.16,101563.22,-19.81,0.0,-7.0,96.75,0.06,-0.06,0.0,0.02,0.21,0.0,0.21095023109728983,0.08485281374238571,1.4758446204521403,-1.5707963267948966,0.0,1.999999999999999,0.0,1.999999999999999
20.03,31.21,101567.2,-20.15,0.0,-7.0,96.75,0.25,0.19,0.0,0.03,0.18,0.05,0.189208879284245,0.31400636936215165,1.2575218563356343,-0.5404195002705842,0.4999999999999999,-1.5,2.5,2.958039891549808
20.04,31.48,101567.23,-20.15,0.0,-7.0,96.75,0.06,0.44,0.0,0.0,0.18,0.01,0.18027756377319948,0.4440720662234903,1.5152978215491797,-0.0,-1.5,0.0,-2.0,2.5
20.04,31.48,101565.07,-19.97,0.0,-7.0,96.75,0.19,0.19,-0.06,0.04,0.19,0.1,0.21840329667841554,0.2753179979587241,1.0551014036954756,-0.3805063771123649,2.0,0.5000000000000004,4.5,4.949747468305833
20.04,31.48,101565.07,-19.97,0.0,-7.0,96.75,0.0,0.37,0.0,0.07,0.19,0.08,0.21771541057077243,0.37,1.0607029166518098,-0.7188299996216245,1.5000000000000002,0.0,-1.0000000000000002,1.802775637731995
20.04,31.54,101563.77,-19.86,0.0,-7.0,96.75,-0.06,-0.13,-0.06,0.06,0.19,0.1,0.22293496809607954,0.15524174696260024,1.0203028373496161,-0.5404195002705842,-0.5000000000000004,0.0,1.0000000000000002,1.1180339887498953
20.04,31.54,101563.77,-19.86,0.0,-7.0,96.75,-0.13,-0.06,-0.06,0.02,0.22,0.01,0.2211334438749598,0.15524174696260024,1.4695047178610432,-1.1071487177940904,-1.9999999999999996,1.5,-4.5,5.1478150704935
20.04,31.52,101567.99,-20.21,0.0,-7.0,96.75,0.0,0.13,-0.13,0.0,0.2,0.0,0.2,0.18384776310850237,1.5707963267948966,-0.0,-1.0,-0.9999999999999994,-0.5,1.4999999999999998
20.04,31.52,101567.99,-20.21,0.0,-7.0,96.75,0.19,0.06,0.13,0.02,0.16,-0.01,0.16155494421403513,0.23790754506740638,1.4319414207133494,-2.0344439357957027,1.0,-2.0000000000000004,-0.5,2.2912878474779204
20.04,31.54,101564.59,-19.93,0.0,-7.0,96.75,0.06,0.31,-0.06,0.04,0.21,0.0,0.21377558326431947,0.32140317359976395,1.382574821490126,-1.5707963267948966,1.0,2.4999999999999996,0.5,2.73861278752583
20.04,31.54,101564.59,-19.93,0.0,-7.0,96.75,0.13,0.19,-0.06,0.04,0.16,0.0,0.16492422502470644,0.23790754506740638,1.3258176636680326,-1.5707963267948966,0.0,-2.4999999999999996,0.0,2.4999999999999996
20.04,31.52,101566.0,-20.05,0.0,-7.0,96.75,-0.06,-0.06,0.0,0.08,0.21,-0.02,0.22561028345356954,0.08485281374238571,1.1966190149916855,-1.8157749899217608,2.0,2.4999999999999996,-1.0,3.3541019662496843
20.04,31.52,101566.0,-20.05,0.0,-7.0,96.75,0.19,-0.13,0.0,0.0,0.18,0.01,0.18027756377319948,0.23021728866442678,1.5152978215491797,-0.0,-4.0,-1.5,1.5,4.527692569068709
20.05,31.55,101566.02,-20.05,0.0,-7.0,96.75,0.06,0.37,0.13,0.02,0.19,0.06,0.20024984394500786,0.39673668849754745,1.2494616306279485,-0.3217505543966422,1.0,0.5000000000000004,2.4999999999999996,2.73861278752583
0.0,0.0,0.0,0.0,359.25,-7.06,96.75,0.06,-0.75,-0.06,-0.07,0.17,0.32,0.3690528417449187,0.7547847375245476,0.47871459021976454,0.21535769969773808,-4.5,-0.9999999999999994,13.0,13.793114224133722
0.0,0.0,0.0,0.0,359.25,-7.0,96.69,0.13,-0.5,0.06,0.04,0.11,0.28,0.3034798181098704,0.5200961449578337,0.3709085230334604,-0.1418970546041639,5.500000000000001,-3.0000000000000004,-1.999999999999999,6.576473218982954
0.0,0.0,0.0,0.0,359.25,-7.0,96.62,0.0,-0.06,0.0,-0.03,0.16,0.28,0.323882694814033,0.06,0.5166912389352057,0.10673567264913564,-3.5000000000000004,2.5,0.0,4.301162633521314
0.0,0.0,0.0,0.0,359.25,-7.06,96.56,0.37,0.88,0.25,0.09,0.17,0.32,0.37336309405188944,0.9868130522039116,0.47273254993586855,-0.2741674511196588,6.0,0.5000000000000004,1.999999999999999,6.344288770224759
0.0,0.0,0.0,0.0,359.31,-7.0,96.44,0.44,0.69,0.25,0.0,0.12,0.31,0.33241540277189324,0.8556868586112562,0.3693336576736256,-0.0,-4.5,-2.500000000000001,-0.5000000000000004,5.172040216394301
0.0,0.0,0.0,0.0,359.37,-7.0,96.37,0.44,0.62,0.13,0.08,0.11,0.38,0.40360872141221127,0.7712976079309465,0.27603321808707987,-0.20749622643520266,4.0,-0.4999999999999997,3.5000000000000004,5.338539126015656
0.0,0.0,0.0,0.0,359.44,-7.0,96.25,0.37,0.5,0.13,0.02,0.13,0.39,0.41158231254513356,0.6354525946126902,0.3213568017863722,-0.051237167403418805,-3.0,1.0000000000000002,0.5000000000000004,3.2015621187164243
0.0,0.0,0.0,0.0,359.5,-6.94,96.12,0.13,0.69,0.06,0.05,0.16,0.4,0.43370496884402887,0.7046985170979146,0.3778407430647423,-0.12435499454676144,1.5,1.5,0.5000000000000004,2.179449471770337
0.0,0.0,0.0,0.0,359.5,-7.0,96.0,0.13,0.75,0.06,0.04,0.12,0.45,0.46743983570080977,0.763544366752843,0.2596243712497767,-0.08865588186743746,-0.5000000000000001,-2.0000000000000004,2.4999999999999996,3.24037034920393
0.0,0.0,0.0,0.0,359.56,-6.94,95.75,-0.06,0.56,0.0,0.06,0.12,0.46,0.4791659420284376,0.563205113613149,0.2531297139352681,-0.1297025371559121,0.9999999999999998,0.0,0.5000000000000004,1.118033988749895
0.0,0.0,0.0,0.0,359.56,-6.94,95.62,0.0,0.37,0.0,0.03,0.13,0.48,0.498196748283246,0.37,0.2639969338344674,-0.06241880999595735,-1.5,0.5000000000000004,0.9999999999999981,1.8708286933869698
0.0,0.0,0.0,0.0,356.44,-7.31,96.94,-1.44,1.12,0.5,-0.11,0.42,0.05,0.43703546766824314,1.8915602025840996,1.2906695680987719,1.1441688336680205,-7.000000000000001,14.499999999999998,-21.5,26.860752037126584
0.0,0.0,0.0,0.0,356.5,-7.25,96.94,1.0,1.12,0.5,0.29,-0.12,0.89,0.9437160589923221,1.5825296205758679,-0.12750207241004594,-0.3149939004608569,19.999999999999996,-27.0,42.0,53.786615435440815
0.0,0.0,0.0,0.0,356.62,-7.31,96.87,3.12,2.94,-0.94,-0.46,-0.14,-0.5,0.693685807840985,4.388803937293167,-0.20321628997071245,2.3978370692909334,-37.5,-1.0000000000000009,-69.5,78.97784499465656
0.0,0.0,0.0,0.0,356.81,-7.25,96.94,-0.19,5.06,0.31,0.0,0.35,0.25,0.4301162633521313,5.073046422022964,0.9505468408120751,-0.0,23.0,24.5,37.5,50.35374861914453
0.0,0.0,0.0,0.0,357.12,-7.19,97.0,0.81,5.37,0.13,0.28,0.27,0.09,0.3992492955535426,5.432301538022351,0.7426862610378193,-1.2597980461893556,14.000000000000002,-3.999999999999998,-8.0,16.61324772583615
0.0,0.0,0.0,0.0,357.37,-7.19,97.0,0.31,4.12,0.56,0.32,0.14,0.1,0.363318042491699,4.1694244207084505,0.3955733415297264,-1.2679114584199251,1.999999999999999,-6.5,0.5000000000000004,6.819090848492928
0.0,0.0,0.0,0.0,357.56,-7.12,96.94,0.37,1.25,0.37,0.15,0.14,0.13,0.24289915602982237,1.355101472215273,0.6142807131868354,-0.8567056281827387,-8.5,0.0,1.5,8.631338250816034
0.0,0.0,0.0,0.0,357.62,-7.12,96.94,0.56,1.37,0.25,-0.02,0.19,0.1,0.21563858652847825,1.500999666888704,1.078191360946396,0.19739555984988075,-8.499999999999998,2.4999999999999996,-1.5,8.986100377805712
0.0,0.0,0.0,0.0,357.75,-7.12,96.94,1.56,1.19,0.5,0.01,-0.13,-0.38,0.4017461885320133,2.0247715920567435,-0.32951841235660556,-3.1152829363368713,1.5,-16.0,-24.0,28.883386228072357
0.0,0.0,0.0,0.0,357.75,-7.12,97.0,0.06,0.0,0.13,0.03,0.63,0.0,0.6307138812488592,0.14317821063276354,1.5232132235179132,-1.5707963267948966,0.9999999999999998,38.0,19.0,42.49705872175156
0.0,0.0,0.0,0.0,357.75,-7.12,97.0,-1.31,0.62,1.0,0.18,0.91,-0.05,0.9289779329994874,1.7608236708995026,1.3683178419962767,-1.8417431771333173,7.5,14.000000000000002,-2.5,16.077935190813527
0.0,0.0,0.0,0.0,2.31,-6.94,99.94,-0.06,3.0,0.75,-0.04,0.04,-0.22,0.22715633383201095,3.092911249939125,0.17701314551900355,2.961739153797315,-11.0,-43.5,-8.499999999999998,45.66727493512176
0.0,0.0,0.0,0.0,2.37,-6.94,100.0,0.06,3.5,0.44,-0.16,-0.01,-0.26,0.3054504869860253,3.5280589564234894,-0.03274438130085887,2.5899376710612465,-6.0,-2.5,-2.0000000000000004,6.800735254367722
0.0,0.0,0.0,0.0,2.56,-7.0,100.12,0.13,3.75,0.56,-0.1,-0.04,-0.28,0.30000000000000004,3.7938107491017523,-0.13373158940994154,2.79856871316909,3.0,-1.5,-1.0000000000000009,3.5000000000000004
0.0,0.0,0.0,0.0,2.75,-6.94,100.19,0.37,3.12,0.37,-0.03,0.04,-0.11,0.12083045973594572,3.163573928328529,0.33740800097162266,2.875340604438868,3.5000000000000004,4.0,8.500000000000002,10.024968827881713
0.0,0.0,0.0,0.0,2.87,-6.94,100.19,-0.06,1.31,-0.06,0.14,-0.03,-0.02,0.14456832294800961,1.3127452151883854,-0.20903329903452006,-1.7126933813990606,8.5,-3.5000000000000004,4.5,10.23474474522936
0.0,0.0,0.0,0.0,2.87,-6.94,100.19,-0.06,-1.12,-0.5,-0.11,-0.03,-0.18,0.21307275752662516,1.2280065146407002,-0.14126636403167372,2.593043251139265,-12.5,0.0,-8.0,14.84082207965583
0.0,0.0,0.0,0.0,2.81,-6.94,100.19,0.13,-1.69,-0.56,-0.07,-0.09,-0.04,0.12083045973594572,1.7851050389262813,-0.8403029591158971,2.0899424410414196,1.9999999999999996,-3.0,6.999999999999999,7.87400787401181
0.0,0.0,0.0,0.0,2.75,-6.94,100.19,-0.81,-1.25,-0.75,-0.26,0.01,0.7,0.7467931440499437,1.667663035508073,0.013390989124961698,0.3556358843007598,-9.5,4.999999999999999,37.0,38.52596527019148
0.0,0.0,0.0,0.0,2.69,-6.94,100.19,0.75,-2.25,-0.37,0.31,-0.3,0.56,0.7068946173228369,2.4003958006962103,-0.4382896548848985,-0.5055810548742051,28.500000000000004,-15.5,-6.999999999999995,33.18885355055218
0.0,0.0,0.0,0.0,2.5,-6.94,100.19,0.62,-3.87,-0.31,-0.03,-0.14,0.34,0.36891733491393436,3.9315900091438833,-0.38924371204015823,0.08800737352774075,-16.999999999999996,7.999999999999998,-11.000000000000002,21.77154105707724
0.0,0.0,0.0,0.0,2.25,-6.94,100.19,-0.81,-5.37,-0.94,0.2,0.13,0.1,0.2586503431275513,5.511497074298416,0.5266140617539863,-1.1071487177940904,11.5,13.5,-12.0,21.412613105363857
0.0,0.0,0.0,0.0,345.81,-6.87,96.44,-0.88,-3.25,-0.19,0.15,0.07,0.27,0.3167017524422623,3.372387878047245,0.22286856053252113,-0.507098504392337,-2.500000000000001,-3.0,8.5,9.354143466934854
0.0,0.0,0.0,0.0,345.62,-6.87,96.37,0.56,-4.06,0.13,0.01,-0.19,0.36,0.40718546143004664,4.100499969515912,-0.48546291500658206,-0.02777063659342104,-6.999999999999999,-13.0,4.499999999999998,15.435349040433131
0.0,0.0,0.0,0.0,345.44,-6.87,96.19,-0.31,-4.69,-0.25,-0.04,-0.21,0.59,0.6275348595894892,4.706877946154967,-0.34122611215154686,0.06769302269396865,-2.5,-0.9999999999999994,11.499999999999998,11.811011811017716
0.0,0.0,0.0,0.0,345.06,-6.87,96.12,-0.56,-8.31,-1.62,-0.39,0.18,-0.25,0.4969909455915671,8.484933706281977,0.37060522815908387,2.140836790494607,-17.5,19.5,-42.0,49.502525188115406
0.0,0.0,0.0,0.0,344.87,-6.87,96.12,-1.06,-0.56,-0.5,0.0,0.05,-0.83,0.8315046602394961,1.2989226304903616,0.060168251155009726,-3.141592653589793,19.5,-6.5,-28.999999999999996,35.54574517435244
0.0,0.0,0.0,0.0,344.87,-6.87,96.12,1.0,-0.44,-0.19,-0.09,0.06,-0.38,0.3950949253027682,1.1089183919477574,0.15245209264656603,2.909035711784884,-4.5,0.4999999999999997,22.499999999999996,22.951034835056998
0.0,0.0,0.0,0.0,344.81,-6.87,96.12,-1.19,-2.0,-0.88,-0.18,-0.01,-0.45,0.48476798574163293,2.4880715423797604,-0.020629888214257423,2.761086276477428,-4.5,-3.4999999999999996,-3.5000000000000004,6.689544080129826
0.0,0.0,0.0,0.0,344.81,-6.87,96.25,-0.31,0.0,-0.44,0.11,0.1,-0.61,0.6278534860936905,0.5382378656319156,0.15995403396541263,-2.963182154238753,14.499999999999998,5.5,-7.999999999999998,17.449928366615143
0.0,0.0,0.0,0.0,344.81,-6.87,96.5,-0.25,0.75,-0.06,-0.12,0.09,-0.38,0.40853396431630995,0.792842985716592,0.22212193465314062,2.835713782184941,-11.499999999999998,-0.5000000000000004,11.499999999999998,16.27114009527298
0.0,0.0,0.0,0.0,344.87,-6.87,96.56,0.06,2.19,0.37,0.27,-0.22,0.05,0.35185224171518364,2.22184607927732,-0.6754678026046178,-1.3876855095324125,19.5,-15.5,21.5,32.90516676754579
0.0,0.0,0.0,0.0,345.0,-6.87,96.56,0.13,1.37,0.44,0.16,-0.03,0.17,0.2353720459187964,1.4447837208385206,-0.12780543643763403,-0.7551044034786731,-5.500000000000001,9.5,6.0,12.509996003196804
0.0,0.0,0.0,0.0,338.37,-7.06,95.5,-0.25,-2.5,-0.31,0.0,0.02,0.25,0.25079872407968906,2.5315212817592507,0.07982998571223732,-0.0,-8.0,2.5,3.999999999999999,9.287087810503355
0.0,0.0,0.0,0.0,338.25,-7.06,95.44,-0.56,-2.06,-0.31,-0.01,-0.07,0.09,0.11445523142259598,2.157150898755115,-0.6580722923530028,0.11065722117389565,-0.5,-4.5,-8.0,9.192388155425117
0.0,0.0,0.0,0.0,338.12,-7.06,95.44,-0.44,-2.0,-0.31,0.13,0.02,0.23,0.26495282598983544,2.07115909577222,0.07555700583400728,-0.5144513130590278,7.000000000000001,4.5,7.000000000000001,10.874281585465774
0.0,0.0,0.0,0.0,338.06,-7.06,95.37,-0.25,-2.12,-0.25,0.0,0.0,0.11,0.11,2.149278948857035,0.0,-0.0,-6.5,-1.0,-6.0,8.902246907382429
0.0,0.0,0.0,0.0,337.94,-7.06,95.37,-0.31,-1.75,-0.19,0.06,-0.01,0.13,0.14352700094407325,1.7873723730661162,-0.06972979490944202,-0.43240777557053783,3.0,-0.5,1.0000000000000002,3.2015621187164243
0.0,0.0,0.0,0.0,337.87,-7.06,95.31,-0.37,-1.56,-0.19,-0.04,0.0,0.12,0.12649110640673517,1.6144968256394931,0.0,0.3217505543966422,-5.0,0.5,-0.5000000000000004,5.049752469181039
0.0,0.0,0.0,0.0,337.75,-7.06,95.31,0.0,-1.56,-0.25,0.08,-0.04,0.14,0.1661324772583615,1.5799050604387594,-0.2431608692238309,-0.5191461142465229,6.0,-2.0,1.0000000000000009,6.4031242374328485
0.0,0.0,0.0,0.0,337.69,-7.06,95.31,-0.31,-1.44,-0.19,0.03,0.0,0.06,0.0670820393249937,1.4851935900750446,0.0,-0.4636476090008061,-2.5,2.0,-4.000000000000001,5.1234753829798
0.0,0.0,0.0,0.0,337.62,-7.06,95.25,-0.19,-1.5,-0.13,0.0,-0.01,0.09,0.09055385138137416,1.517563837207516,-0.11065722117389565,-0.0,-1.5,-0.5,1.5,2.179449471770337
0.0,0.0,0.0,0.0,337.5,-7.12,95.25,-0.44,-1.37,-0.25,0.0,0.01,0.09,0.09055385138137416,1.4604793733565702,0.11065722117389565,-0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,337.44,-7.12,95.25,-0.56,-1.62,-0.37,-0.05,0.02,0.17,0.1783255450012701,1.7535392781457735,0.11239089635610675,0.2860514417173182,-2.5,0.5,4.000000000000001,4.74341649025257
0.0,0.0,0.0,0.0,337.5,-7.06,96.06,-0.13,-0.13,0.0,0.0,0.01,-0.08,0.0806225774829855,0.18384776310850237,0.12435499454676144,-3.141592653589793,2.5,-0.5,-12.5,12.757350822173073
0.0,0.0,0.0,0.0,337.5,-7.06,96.06,0.06,-0.06,0.06,0.0,0.0,-0.09,0.09,0.10392304845413264,0.0,-3.141592653589793,0.0,-0.5,-0.4999999999999997,0.7071067811865474
